tconst	averageRating	numVotes
tt0000724	5.2	41
tt0000727	6.0	20
tt0000728	5.9	119
tt0000730	5.8	61
tt0000731	4.9	24
tt0000733	6.2	31
tt0000734	4.2	14
tt0000736	5.4	16
tt0000737	5.2	32
tt0000738	8.0	20
tt0000739	6.2	16
tt0000740	5.6	19
tt0000741	5.4	20
tt0000743	6.8	15
tt0000746	7.4	20
tt0000747	5.2	21
tt0000748	5.7	27
tt0000749	5.7	769
tt0000750	7.5	15
tt0000752	5.1	117
tt0000754	7.3	59
tt0000755	5.8	192
tt0000756	5.4	117
tt0000758	6.2	30
tt0000759	7.9	12
tt0000760	6.6	9
tt0000762	6.0	20
tt0000764	5.7	130
tt0000765	5.8	16
tt0000767	6.8	19
tt0000769	5.3	151
tt0000770	5.5	144
tt0000771	6.0	23
tt0000772	6.2	20
tt0000775	7.9	11
tt0000776	5.9	86
tt0000778	6.6	16
tt0000779	5.7	18
tt0000781	6.6	19
tt0000782	7.5	18
tt0000784	5.8	21
tt0000785	5.4	60
tt0000786	7.0	9
tt0000787	5.8	21
tt0000789	5.1	56
tt0000790	6.2	333
tt0000792	5.0	70
tt0000793	4.6	20
tt0000797	5.4	164
tt0000798	4.6	14
tt0000800	5.4	109
tt0000801	5.4	74
tt0000807	5.0	62
tt0000809	6.2	62
tt0000815	5.0	66
tt0000816	4.8	122
tt0000817	4.2	15
tt0000819	5.5	67
tt0000821	4.9	115
tt0000823	4.8	54
tt0000825	4.8	56
tt0000826	4.8	55
tt0000827	5.3	91
tt0000828	5.3	107
tt0000829	4.7	59
tt0000831	5.3	130
tt0000832	6.6	2408
tt0000833	6.4	665
tt0000835	5.0	147
tt0000836	4.8	47
tt0000837	5.5	43
tt0000840	5.6	325
tt0000841	5.2	71
tt0000843	5.7	41
tt0000844	5.8	17
tt0000845	5.0	43
tt0000847	5.9	17
tt0000848	5.5	24
tt0000851	5.3	46
tt0000852	5.7	229
tt0000853	5.7	41
tt0000854	6.0	494
tt0000855	5.7	51
tt0000857	5.2	38
tt0000858	5.2	38
tt0000860	4.8	72
tt0000861	5.3	60
tt0000862	5.1	16
tt0000864	5.9	60
tt0000866	6.3	9
tt0000870	5.5	59
tt0000871	5.8	112
tt0000873	6.4	11
tt0000874	5.2	52
tt0000875	4.9	38
tt0000877	4.9	97
tt0000878	5.0	167
tt0000880	5.9	79
tt0000882	5.8	202
tt0000883	7.0	8
tt0000884	4.4	12
tt0000886	4.7	37
tt0000887	5.0	47
tt0000890	7.1	32
tt0000891	5.5	46
tt0000892	5.7	68
tt0000893	6.3	38
tt0000895	5.6	198
tt0000896	4.3	24
tt0000897	5.6	60
tt0000898	5.7	26
tt0000900	4.7	24
tt0000901	5.3	25
tt0000902	5.3	16
tt0000903	6.2	22
tt0000904	5.4	112
tt0000905	5.6	24
tt0000907	6.2	23
tt0000908	6.3	31
tt0000910	5.3	26
tt0000911	3.4	26
tt0000912	4.4	63
tt0000916	6.0	57
tt0000917	5.4	21
tt0000919	4.3	24
tt0000920	5.2	24
tt0000921	5.6	26
tt0000922	5.6	105
tt0000924	6.1	166
tt0000928	5.4	92
tt0000929	5.3	45
tt0000930	4.0	12
tt0000932	4.3	10
tt0000933	5.1	48
tt0000934	4.8	19
tt0000935	6.3	92
tt0000936	6.8	86
tt0000938	4.6	177
tt0000939	5.4	20
tt0000941	4.8	23
tt0000942	6.1	962
tt0000943	5.6	12
tt0000944	4.8	11
tt0000945	4.8	70
tt0000946	4.6	74
tt0000950	4.8	16
tt0000954	5.0	16
tt0000956	6.9	16
tt0000957	6.3	44
tt0000958	5.7	15
tt0000960	4.7	275
tt0000961	8.2	22
tt0000962	5.3	15
tt0000964	5.3	17
tt0000966	5.7	337
tt0000967	5.3	18
tt0000969	6.7	25
tt0000970	5.8	73
tt0000971	6.4	146
tt0000972	5.9	85
tt0000974	5.3	52
tt0000975	5.8	19
tt0000976	4.7	20
tt0000978	6.8	8
tt0000979	5.2	29
tt0000981	5.6	51
tt0000983	5.4	14
tt0000985	4.4	15
tt0000986	5.1	109
tt0000987	7.8	9
tt0000988	5.1	20
tt0000989	5.0	42
tt0000990	6.2	76
tt0000992	4.6	15
tt0000993	5.0	14
tt0000995	7.3	18
tt0000996	4.8	10
tt0000997	6.7	16
tt0000998	5.6	18
tt0000999	5.4	9
tt0001000	5.5	48
tt0001001	5.5	125
tt0001002	4.9	93
tt0001005	4.7	16
tt0001008	5.6	29
tt0001009	6.5	933
tt0001010	4.6	14
tt0001011	5.3	17
tt0001013	5.9	371
tt0001014	5.1	109
tt0001015	4.7	23
tt0001016	5.2	135
tt0001020	5.2	14
tt0001023	6.0	14
tt0001024	5.0	12
tt0001025	7.7	17
tt0001027	6.0	17
tt0001028	4.4	17
tt0001029	5.3	48
tt0001031	4.4	14
tt0001032	6.0	843
tt0001033	5.1	19
tt0001035	5.0	34
tt0001036	3.5	12
tt0001037	3.9	18
tt0001038	3.8	21
tt0001041	5.5	36
tt0001044	5.7	107
tt0001045	5.6	14
tt0001046	5.6	15
tt0001049	4.0	16
tt0001050	5.1	79
tt0001052	5.7	17
tt0001053	6.2	16
tt0001054	5.9	31
tt0001058	5.3	23
tt0001060	5.6	15
tt0001061	6.6	42
tt0001062	6.2	1186
tt0001063	5.9	17
tt0001064	5.1	37
tt0001065	5.2	17
tt0001066	5.0	15
tt0001067	6.2	36
tt0001071	6.6	15
tt0001072	5.7	339
tt0001074	6.0	21
tt0001075	5.3	17
tt0001076	5.6	25
tt0001077	5.8	15
tt0001078	5.6	47
tt0001079	4.8	17
tt0001083	5.1	139
tt0001084	5.2	165
tt0001085	5.6	17
tt0001086	6.3	17
tt0001088	5.3	72
tt0001089	8.3	38
tt0001090	7.0	16
tt0001091	5.4	194
tt0001092	5.9	42
tt0001094	4.8	17
tt0001095	3.7	17
tt0001098	6.3	20
tt0001099	5.8	17
tt0001101	5.2	37
tt0001103	5.5	66
tt0001104	5.0	58
tt0001105	6.4	900
tt0001106	6.0	124
tt0001107	6.1	95
tt0001111	4.4	14
tt0001112	3.8	40
tt0001113	5.1	16
tt0001115	4.6	19
tt0001116	4.7	18
tt0001117	5.3	13
tt0001118	5.5	193
tt0001120	5.6	231
tt0001121	4.6	57
tt0001122	5.3	18
tt0001129	5.0	66
tt0001135	4.8	59
tt0001139	5.5	33
tt0001143	4.7	51
tt0001144	4.8	52
tt0001145	5.8	10
tt0001150	5.3	117
tt0001151	4.3	60
tt0001152	5.6	73
tt0001153	4.5	56
tt0001156	4.3	55
tt0001159	5.6	28
tt0001161	4.5	57
tt0001165	4.4	40
tt0001175	5.8	35
tt0001176	4.2	39
tt0001184	3.9	20
tt0001185	7.0	19
tt0001186	5.4	70
tt0001187	4.4	40
tt0001190	6.6	13
tt0001195	4.3	12
tt0001200	4.5	45
tt0001202	4.6	39
tt0001206	6.0	43
tt0001207	5.7	136
tt0001211	5.6	37
tt0001214	6.6	8
tt0001216	4.6	39
tt0001217	5.8	100
tt0001218	5.3	106
tt0001223	6.4	4126
tt0001227	5.8	252
tt0001230	5.0	29
tt0001234	5.4	43
tt0001235	5.3	52
tt0001236	5.0	42
tt0001237	4.6	70
tt0001240	3.9	21
tt0001241	5.1	16
tt0001242	6.0	18
tt0001245	5.6	70
tt0001253	5.6	23
tt0001254	4.4	23
tt0001256	5.8	538
tt0001258	5.8	141
tt0001262	5.2	28
tt0001264	7.1	70
tt0001265	6.4	518
tt0001277	4.4	23
tt0001280	4.8	30
tt0001282	6.8	34
tt0001283	5.8	22
tt0001284	4.8	43
tt0001285	5.6	57
tt0001292	5.0	59
tt0001294	7.2	16
tt0001299	3.9	16
tt0001303	6.0	17
tt0001306	4.8	11
tt0001307	5.5	16
tt0001310	5.4	27
tt0001313	4.8	9
tt0001314	5.8	155
tt0001315	5.8	23
tt0001321	5.3	55
tt0001326	5.6	56
tt0001330	5.7	35
tt0001332	5.4	32
tt0001333	5.7	52
tt0001334	6.4	16
tt0001337	5.8	54
tt0001338	5.3	16
tt0001340	5.1	95
tt0001351	6.1	58
tt0001358	4.1	23
tt0001370	5.3	24
tt0001371	5.9	396
tt0001377	4.8	27
tt0001378	6.0	208
tt0001380	3.6	11
tt0001381	5.4	36
tt0001385	5.4	69
tt0001386	4.4	18
tt0001387	5.8	29
tt0001388	5.6	81
tt0001396	2.9	17
tt0001400	6.4	17
tt0001401	6.1	27
tt0001407	5.9	19
tt0001410	3.9	17
tt0001414	6.4	61
tt0001423	4.2	13
tt0001428	5.1	51
tt0001431	6.3	744
tt0001432	5.6	27
tt0001439	5.9	253
tt0001440	4.7	20
tt0001443	5.8	16
tt0001444	3.3	32
tt0001446	5.3	17
tt0001452	5.5	201
tt0001454	5.5	30
tt0001456	8.5	17
tt0001458	5.8	191
tt0001459	5.4	57
tt0001460	2.9	17
tt0001461	6.0	27
tt0001463	5.7	1507
tt0001469	5.8	134
tt0001475	7.3	20
tt0001481	5.8	33
tt0001482	5.1	77
tt0001488	6.3	462
tt0001490	4.7	23
tt0001496	4.4	61
tt0001497	7.2	10
tt0001498	7.7	12
tt0001499	5.6	349
tt0001500	5.7	7
tt0001508	5.0	51
tt0001510	5.3	68
tt0001517	5.6	44
tt0001518	5.8	15
tt0001519	5.2	37
tt0001527	7.7	2832
tt0001529	4.1	21
tt0001530	6.0	17
tt0001531	4.6	14
tt0001532	4.8	13
tt0001542	4.0	35
tt0001544	6.0	713
tt0001545	6.1	134
tt0001550	5.5	49
tt0001551	5.2	97
tt0001552	4.8	39
tt0001557	4.8	101
tt0001560	4.1	21
tt0001563	5.8	37
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	4.4	31
tt0001582	4.4	32
tt0001583	5.6	15
tt0001586	3.8	16
tt0001587	3.9	24
tt0001588	5.4	204
tt0001590	5.6	6
tt0001592	5.5	15
tt0001593	6.3	360
tt0001594	6.4	321
tt0001598	5.7	41
tt0001607	5.6	67
tt0001613	5.3	155
tt0001614	6.1	27
tt0001615	4.9	38
tt0001618	6.1	15
tt0001624	5.0	43
tt0001630	5.9	26
tt0001632	6.4	47
tt0001642	5.2	39
tt0001654	5.3	37
tt0001655	4.0	18
tt0001658	5.5	15
tt0001659	6.6	18
tt0001660	5.7	208
tt0001668	4.2	36
tt0001671	4.8	34
tt0001680	5.1	599
tt0001681	4.8	278
tt0001692	5.3	13
tt0001693	7.1	23
tt0001695	4.8	58
tt0001696	4.2	12
tt0001701	4.6	76
tt0001706	5.2	16
tt0001709	5.6	37
tt0001715	3.1	9
tt0001717	3.4	24
tt0001722	4.2	12
tt0001724	5.8	260
tt0001728	7.7	15
tt0001732	7.1	15
tt0001733	5.2	23
tt0001737	7.1	1668
tt0001738	6.9	58
tt0001740	6.5	1182
tt0001741	4.4	23
tt0001742	5.7	15
tt0001747	4.9	23
tt0001753	5.1	19
tt0001761	5.0	6
tt0001762	4.8	68
tt0001769	5.3	72
tt0001771	5.5	150
tt0001772	5.6	22
tt0001776	6.7	191
tt0001777	5.0	18
tt0001779	7.0	16
tt0001787	8.5	13
tt0001789	6.3	268
tt0001790	6.0	44
tt0001799	4.7	13
tt0001803	4.0	11
tt0001812	6.3	13
tt0001815	6.7	24
tt0001817	5.3	89
tt0001832	5.6	51
tt0001840	4.9	39
tt0001845	5.1	11
tt0001848	4.4	40
tt0001852	4.9	12
tt0001856	4.6	48
tt0001857	5.7	211
tt0001862	5.3	44
tt0001865	6.0	75
tt0001868	5.1	9
tt0001871	4.7	53
tt0001872	7.4	57
tt0001874	7.8	12
tt0001877	5.3	69
tt0001886	4.6	10
tt0001889	4.0	14
tt0001892	5.8	231
tt0001896	5.2	71
tt0001910	5.5	69
tt0001911	4.5	22
tt0001913	5.5	224
tt0001915	5.7	115
tt0001923	7.2	35
tt0001924	5.4	12
tt0001925	4.9	42
tt0001926	4.6	14
tt0001927	5.0	12
tt0001928	4.5	52
tt0001941	5.2	82
tt0001949	5.6	27
tt0001956	6.1	16
tt0001957	4.9	52
tt0001963	5.5	147
tt0001964	6.0	82
tt0001967	5.9	11
tt0001969	5.4	14
tt0001973	6.1	273
tt0001978	6.1	29
tt0001987	6.1	24
tt0001989	5.0	15
tt0001993	4.0	21
tt0001998	4.5	34
tt0002020	4.6	130
tt0002026	4.0	13
tt0002029	6.1	58
tt0002031	4.8	20
tt0002033	5.5	40
tt0002034	5.4	48
tt0002041	3.9	60
tt0002045	4.3	84
tt0002046	3.6	7
tt0002054	5.9	207
tt0002056	6.8	161
tt0002064	4.8	79
tt0002065	6.2	64
tt0002066	3.9	97
tt0002068	5.1	53
tt0002070	5.2	41
tt0002071	4.1	17
tt0002078	5.0	65
tt0002082	6.1	394
tt0002083	6.1	263
tt0002093	4.6	39
tt0002095	4.9	38
tt0002096	3.9	16
tt0002097	4.2	37
tt0002098	5.9	145
tt0002101	5.1	530
tt0002107	4.9	23
tt0002113	6.9	978
tt0002114	4.0	17
tt0002121	4.8	47
tt0002122	6.2	307
tt0002124	5.0	365
tt0002126	6.3	74
tt0002130	7.0	2810
tt0002132	5.5	17
tt0002133	5.8	198
tt0002136	5.7	81
tt0002139	5.7	19
tt0002143	6.0	667
tt0002144	5.1	17
tt0002145	8.7	12
tt0002151	5.0	29
tt0002153	5.9	69
tt0002159	4.5	38
tt0002160	6.4	100
tt0002162	4.6	76
tt0002167	4.7	17
tt0002172	4.8	35
tt0002176	5.9	302
tt0002177	5.8	70
tt0002179	3.6	36
tt0002181	6.2	175
tt0002186	6.5	117
tt0002190	6.2	390
tt0002196	4.5	19
tt0002197	5.5	283
tt0002198	6.3	23
tt0002199	5.8	584
tt0002200	6.1	93
tt0002202	4.8	16
tt0002203	4.9	55
tt0002206	5.5	21
tt0002208	6.8	1189
tt0002212	5.2	43
tt0002214	6.0	43
tt0002216	5.3	47
tt0002220	4.0	44
tt0002221	6.8	397
tt0002224	5.1	145
tt0002226	5.7	59
tt0002230	6.5	89
tt0002232	5.4	58
tt0002233	4.6	138
tt0002234	8.6	27
tt0002253	4.5	14
tt0002255	4.6	48
tt0002259	5.0	16
tt0002260	6.3	1205
tt0002261	5.7	32
tt0002266	6.2	14
tt0002268	5.1	14
tt0002273	5.1	32
tt0002277	6.3	38
tt0002278	5.2	32
tt0002280	5.0	42
tt0002281	6.1	305
tt0002282	5.7	47
tt0002287	4.4	15
tt0002290	5.4	58
tt0002293	4.2	16
tt0002295	7.4	13
tt0002300	6.0	19
tt0002302	5.8	56
tt0002303	5.7	189
tt0002305	7.7	27
tt0002309	9.0	21
tt0002318	5.9	35
tt0002320	3.6	16
tt0002329	5.0	33
tt0002330	5.0	12
tt0002332	5.1	31
tt0002340	5.8	51
tt0002342	5.8	86
tt0002349	5.3	18
tt0002350	6.5	306
tt0002354	6.3	153
tt0002355	6.0	58
tt0002357	6.1	221
tt0002369	6.0	58
tt0002370	5.9	15
tt0002371	6.5	20
tt0002374	6.2	18
tt0002375	5.8	11
tt0002380	5.2	17
tt0002381	6.6	2232
tt0002382	6.2	41
tt0002383	6.2	11
tt0002386	5.9	150
tt0002387	4.8	43
tt0002391	6.3	855
tt0002392	5.5	14
tt0002394	7.8	11
tt0002398	5.4	46
tt0002399	4.2	23
tt0002400	5.7	247
tt0002402	7.7	8
tt0002405	5.3	37
tt0002406	5.4	23
tt0002408	6.2	308
tt0002409	6.1	19
tt0002415	5.9	591
tt0002421	6.1	112
tt0002423	6.6	884
tt0002429	6.2	173
tt0002434	9.2	13
tt0002437	9.0	12
tt0002440	3.9	27
tt0002441	5.5	33
tt0002443	4.2	18
tt0002445	6.2	357
tt0002449	6.3	57
tt0002451	8.5	22
tt0002452	6.4	239
tt0002461	5.7	276
tt0002465	5.3	51
tt0002473	6.5	81
tt0002475	7.0	103
tt0002477	5.8	13
tt0002478	5.6	61
tt0002484	5.5	55
tt0002497	6.2	112
tt0002500	5.9	13
tt0002501	4.4	40
tt0002504	5.1	54
tt0002505	5.0	20
tt0002506	5.5	32
tt0002512	6.3	375
tt0002514	4.2	18
tt0002515	4.9	17
tt0002521	5.1	36
tt0002523	5.7	97
tt0002528	5.1	58
tt0002529	4.5	16
tt0002531	6.2	13
tt0002532	5.9	85
tt0002533	5.2	74
tt0002535	4.7	46
tt0002536	5.4	50
tt0002538	5.3	16
tt0002542	5.9	23
tt0002544	5.8	209
tt0002545	7.4	15
tt0002546	7.2	25
tt0002547	5.8	15
tt0002550	5.2	46
tt0002553	6.5	867
tt0002555	4.7	41
tt0002556	6.0	22
tt0002562	4.7	22
tt0002569	5.3	234
tt0002574	6.2	23
tt0002576	4.8	47
tt0002582	9.0	17
tt0002586	5.3	26
tt0002588	6.0	37
tt0002592	6.8	24
